,Drużyna,Sezon,Punkty,Zwycięstwa,Remisy,Porażki,Gole_zdobyte,Gole_stracone,Avg._posiadanie,Avg.strzały,Avg.strzały_celne,Avg.strzały_niecelne,Avg.strzały_zablokowane,Avg.rzuty_rożne,Avg.spalone,Avg.obrony_bramkarza,Avg.faule,Avg.Żółte_kartki,Avg.Czerwone_kartki,%_SFG
0,Jagiellonia,23/24,63,18,9,7,77,45,57%,"12,88","4,88","4,76","3,24","5,06","2,06","2,50","11,59","2,09","0,06","32,47%"
1,Śląsk Wrocław,23/24,63,18,9,7,50,31,45%,"11,65","4,71","3,97","2,97","3,71","1,24","2,50","11,41","2,21","0,12","36,00%"
2,Legia Warszawa,23/24,59,16,11,7,51,39,57%,"13,50","4,41","5,21","3,88","6,00","1,68","1,32","13,18","2,47","0,18","25,49%"
3,Pogoń Szczecin,23/24,55,16,7,11,59,38,56%,"14,59","4,91","5,44","4,24","6,24","1,29","2,65","10,85","1,94","0,06","27,12%"
4,Lech Poznań,23/24,53,14,11,9,47,41,59%,"11,12","4,29","3,91","2,91","5,62","1,82","3,15","13,03","2,18","0,09","25,53%"
5,Górnik Zabrze,23/24,53,15,8,11,45,41,50%,"11,85","4,06","4,29","3,50","4,88","0,79","2,88","13,21","2,09","0,21","26,67%"
6,Raków Częstochowa,23/24,52,14,10,10,54,39,56%,"13,41","4,94","5,12","3,35","6,00","1,68","2,26","13,50","2,12","0,09","22,22%"
7,Zagłębie Lubin,23/24,47,13,8,13,43,50,50%,"13,44","4,68","5,09","3,68","5,29","1,59","3,29","11,06","1,79","0,18","30,23%"
8,Widzew Łódź,23/24,46,13,7,14,45,46,53%,"12,15","4,12","4,71","3,32","5,68","1,82","3,12","11,65","2,29","0,09","33,33%"
9,Piast Gliwice,23/24,43,9,16,9,38,35,50%,"11,85","4,00","4,47","3,38","5,24","1,47","2,18","12,97","2,15","0,09","55,26%"
10,Stal Mielec,23/24,43,11,10,13,42,48,48%,"9,12","3,50","3,50","2,12","3,62","1,12","3,38","11,74","1,85","0,12","30,95%"
11,Puszcza Niepołomice,23/24,40,9,13,12,39,49,38%,"10,12","3,38","3,85","2,88","4,38","1,82","3,74","16,26","2,79","0,12","56,41%"
12,Cracovia,23/24,39,8,15,11,45,46,45%,"13,18","4,12","5,00","4,06","5,26","1,53","2,82","13,00","2,06","0,09","35,56%"
13,Korona Kielce,23/24,38,8,14,12,40,44,50%,"12,74","4,09","4,68","3,97","4,76","1,71","2,53","13,21","2,12","0,03","35,00%"
14,Radomiak Radom,23/24,38,10,8,16,41,58,49%,"13,00","4,15","5,74","3,12","5,32","1,50","2,65","13,35","2,59","0,21","24,39%"
15,Warta Poznań,23/24,37,9,10,15,33,43,41%,"8,47","2,85","3,15","2,47","3,44","1,35","2,97","15,09","2,18","0,06","33,33%"
16,Ruch Chorzów,23/24,32,6,14,14,40,55,47%,"11,94","3,68","4,74","3,53","4,41","1,18","3,00","13,09","2,21","0,15","37,50%"
17,ŁKS Łódź,23/24,24,6,6,22,34,75,49%,"10,26","3,15","3,97","3,15","4,12","1,50","3,53","14,21","2,50","0,18","38,24%"
18,Raków Częstochowa,22/23,75,23,6,5,63,24,55%,"13,24","4,88","4,88","3,47","5,82","2,00","1,82","13,94","2,29","0,09","39,68%"
19,Legia Warszawa,22/23,66,19,9,6,57,37,58%,"13,71","4,79","5,56","3,35","5,50","2,00","2,62","12,35","2,50","0,12","35,09%"
20,Lech Poznań,22/23,61,17,10,7,51,29,61%,"15,35","5,85","5,38","4,12","5,79","1,41","2,32","13,38","2,18","0,06","23,53%"
21,Pogoń Szczecin,22/23,60,17,9,8,57,46,57%,"15,24","5,35","5,50","4,38","6,15","1,44","2,74","11,65","2,09","0,03","28,07%"
22,Piast Gliwice,22/23,53,15,8,11,40,31,46%,"10,00","3,32","4,41","2,26","4,21","1,85","2,38","13,15","1,97","0,06","35,14%"
23,Górnik Zabrze,22/23,48,13,9,12,45,43,54%,"12,76","4,29","4,79","3,68","5,41","2,15","3,18","13,59","2,74","0,06","31,11%"
24,Cracovia,22/23,46,12,10,12,41,35,45%,"13,15","4,15","5,53","3,47","4,97","1,09","2,53","12,38","2,12","0,09","31,71%"
25,Warta Poznań,22/23,45,12,9,13,37,35,46%,"10,18","3,21","3,91","3,06","4,44","1,50","2,35","13,00","2,12","0,03","27,03%"
26,Zagłębie Lubin,22/23,45,12,9,13,35,44,47%,"13,68","4,91","5,26","3,50","5,32","1,18","2,68","12,47","1,47","0,06","20,00%"
27,Radomiak Radom,22/23,44,12,8,14,34,41,48%,"12,26","3,68","5,06","3,53","4,68","1,56","3,44","13,03","2,44","0,09","44,12%"
28,Stal Mielec,22/23,43,11,10,13,36,40,49%,"10,47","3,32","4,03","3,12","3,85","1,35","3,44","12,09","1,74","0,09","50,00%"
29,Widzew Łódź,22/23,41,11,8,15,38,47,49%,"12,41","3,88","5,24","3,29","5,32","1,85","3,21","11,65","1,47","0,00","31,58%"
30,Korona Kielce,22/23,41,11,8,15,39,48,42%,"13,06","4,41","5,53","3,12","5,38","1,35","2,79","14,53","2,47","0,09","41,03%"
31,Jagiellonia,22/23,41,9,14,11,48,49,47%,"11,50","4,09","4,21","3,21","3,88","2,41","3,85","13,62","2,74","0,18","31,25%"
32,Śląsk Wrocław,22/23,38,9,11,14,35,48,49%,"10,29","3,82","4,09","2,38","4,38","1,35","2,65","11,91","2,41","0,12","25,71%"
33,Wisła Płock,22/23,37,10,7,17,41,50,54%,"11,29","3,88","4,15","3,26","4,62","2,29","3,53","11,91","2,06","0,12","19,51%"
34,Lechia Gdańsk,22/23,30,8,6,20,28,56,51%,"10,62","3,41","4,38","2,82","4,74","2,41","3,38","11,74","2,12","0,03","31,03%"
35,Miedź Legnica,22/23,23,4,11,19,33,55,43%,"10,50","3,24","4,82","2,44","3,59","2,12","4,09","14,12","3,06","0,15","33,33%"
36,Lech Poznań,21/22,74,22,8,4,67,24,56%,"17,35","6,41","6,41","4,53","6,82","1,71","1,53","12,47","1,53","0,06","28,36%"
37,Raków Częstochowa,21/22,69,20,9,5,60,30,50%,"13,65","5,62","5,26","2,76","6,15","1,74","2,59","13,65","2,29","0,12","41,67%"
38,Pogoń Szczecin,21/22,65,18,11,5,63,31,55%,"14,35","5,32","5,41","3,62","6,26","1,82","2,32","11,65","1,85","0,09","28,57%"
39,Lechia Gdańsk,21/22,57,16,9,9,52,39,54%,"13,38","4,68","5,44","3,26","6,47","1,74","3,56","14,85","2,18","0,03","28,85%"
40,Piast Gliwice,21/22,54,15,9,10,45,37,47%,"10,85","3,50","4,62","2,74","4,38","1,82","2,68","12,65","1,50","0,00","40,00%"
41,Wisła Płock,21/22,48,15,3,16,48,51,50%,"10,47","4,03","3,56","2,88","5,00","1,44","3,76","15,06","2,79","0,15","37,50%"
42,Radomiak Radom,21/22,48,11,15,8,42,40,50%,"13,06","4,21","5,24","3,62","5,38","1,53","2,79","13,38","2,12","0,12","42,86%"
43,Górnik Zabrze,21/22,47,13,8,13,55,55,51%,"13,47","4,91","5,24","3,32","5,21","1,79","2,68","13,09","2,00","0,03","21,82%"
44,Cracovia,21/22,46,12,10,12,40,42,48%,"12,00","4,06","4,76","3,18","5,18","2,44","2,41","14,97","2,18","0,06","40,00%"
45,Legia Warszawa,21/22,43,13,4,17,46,48,55%,"12,76","4,38","5,06","3,32","6,09","1,35","2,82","14,91","2,82","0,15","26,09%"
46,Warta Poznań,21/22,42,11,9,14,35,38,44%,"10,06","3,41","3,85","2,79","4,29","1,76","2,53","15,62","2,03","0,06","40,00%"
47,Jagiellonia,21/22,40,9,13,12,39,50,48%,"12,06","4,15","4,82","3,09","5,15","2,18","2,44","15,38","2,59","0,09","25,64%"
48,Zagłębie Lubin,21/22,38,11,5,18,43,59,49%,"13,18","3,94","5,82","3,41","5,21","1,41","3,59","14,82","2,44","0,12","34,88%"
49,Stal Mielec,21/22,37,9,10,15,39,52,45%,"10,29","3,68","4,15","2,47","4,44","1,65","3,44","11,68","2,26","0,09","51,28%"
50,Śląsk Wrocław,21/22,35,7,14,13,42,52,48%,"12,71","4,26","5,09","3,35","4,56","1,97","3,50","13,62","2,15","0,15","30,95%"
51,Termalica Bruk-Bet Nieciecza,21/22,32,7,11,16,36,56,52%,"11,65","3,59","4,94","3,12","4,85","1,74","3,74","12,97","2,38","0,03","41,67%"
52,Wisła Kraków,21/22,31,7,10,17,37,54,53%,"12,59","4,06","4,88","3,65","5,12","1,94","3,85","13,94","2,03","0,12","27,03%"
53,Górnik Łęczna,21/22,28,6,10,18,29,60,46%,"9,21","3,00","3,62","2,59","4,09","1,56","3,88","14,00","2,21","0,12","31,03%"
54,Legia Warszawa,20/21,64,19,7,4,48,24,58%,"15,33","5,23","6,00","4,10","6,13","1,57","2,30","14,07","1,83","0,03","25,00%"
55,Raków Częstochowa,20/21,59,17,8,5,46,25,47%,"13,10","5,03","5,03","3,03","5,97","1,57","2,53","14,77","1,93","0,07","45,65%"
56,Pogoń Szczecin,20/21,52,15,7,8,36,23,55%,"12,93","4,50","5,20","3,23","6,20","2,10","2,47","13,70","2,07","0,07","44,44%"
57,Śląsk Wrocław,20/21,43,11,10,9,36,32,47%,"12,07","4,13","5,20","2,73","4,60","1,53","3,37","15,33","1,83","0,10","41,67%"
58,Warta Poznań,20/21,43,13,4,13,33,32,44%,"10,07","3,13","4,37","2,57","4,53","1,60","2,77","13,90","1,47","0,07","21,21%"
59,Piast Gliwice,20/21,42,11,9,10,39,32,51%,"13,13","4,37","5,57","3,20","4,50","1,83","3,13","12,70","1,80","0,00","30,77%"
60,Lechia Gdańsk,20/21,42,12,6,12,40,37,50%,"13,07","4,03","5,30","3,73","5,47","1,83","3,73","16,03","2,73","0,17","47,50%"
61,Zagłębie Lubin,20/21,41,11,8,11,38,40,51%,"11,87","3,97","5,03","2,87","4,90","1,90","3,37","13,27","2,13","0,10","55,26%"
62,Jagiellonia,20/21,37,10,7,13,39,48,48%,"11,53","4,20","4,57","2,77","4,37","1,63","3,73","14,90","2,33","0,17","30,77%"
63,Górnik Zabrze,20/21,37,10,7,13,31,33,51%,"14,10","4,80","5,27","4,03","5,63","1,27","2,80","14,17","2,17","0,00","35,48%"
64,Lech Poznań,20/21,37,9,10,11,39,38,59%,"15,60","4,97","5,83","4,80","6,67","1,50","3,13","13,37","1,77","0,00","35,90%"
65,Wisła Płock,20/21,33,8,9,13,37,44,51%,"10,50","4,07","4,20","2,23","4,83","1,30","2,63","15,77","2,03","0,03","48,65%"
66,Wisła Kraków,20/21,33,8,9,13,39,42,50%,"12,80","4,20","5,20","3,40","6,13","2,00","3,53","15,20","2,67","0,03","35,90%"
67,Cracovia,20/21,32,8,13,9,28,32,48%,"12,03","3,63","4,67","3,73","4,37","1,67","3,43","15,80","2,50","0,17","50,00%"
68,Stal Mielec,20/21,29,6,11,13,31,47,45%,"11,90","4,53","4,57","2,80","4,77","1,50","3,30","13,07","2,13","0,07","51,61%"
69,Podbeskidzie Bielsko-Biała,20/21,25,6,7,17,29,60,47%,"11,40","3,50","4,33","3,57","4,80","1,63","3,07","15,47","2,13","0,13","44,83%"
70,Legia Warszawa,19/20,69,21,6,10,70,35,52%,"16,57","6,08","6,41","4,08","5,62","1,46","2,46","16,00","1,86","0,05","30,00%"
71,Lech Poznań,19/20,66,18,12,7,70,35,56%,"16,65","5,97","5,65","5,03","6,62","1,03","3,05","12,97","1,95","0,11","24,29%"
72,Piast Gliwice,19/20,61,18,7,12,41,32,50%,"13,76","4,95","5,54","3,27","4,95","1,32","3,46","12,43","1,46","0,11","39,02%"
73,Lechia Gdańsk,19/20,56,15,11,11,48,50,48%,"11,84","3,95","4,92","2,97","5,16","2,27","3,62","15,68","2,51","0,14","31,25%"
74,Śląsk Wrocław,19/20,54,14,12,11,51,46,49%,"12,78","4,35","5,43","3,00","5,41","1,38","3,76","15,46","1,84","0,11","35,29%"
75,Pogoń Szczecin,19/20,54,14,12,11,37,39,52%,"13,84","4,24","5,70","3,89","4,76","1,27","3,32","14,38","1,92","0,11","37,84%"
76,Cracovia,19/20,53,16,5,16,49,40,50%,"13,73","4,57","5,76","3,41","5,76","1,30","2,76","15,57","2,30","0,05","34,69%"
77,Jagiellonia,19/20,52,14,10,13,48,51,50%,"14,97","4,59","5,62","4,76","6,03","1,78","2,76","13,76","2,41","0,11","37,50%"
78,Górnik Zabrze,19/20,53,14,11,12,51,47,46%,"13,05","4,41","5,30","3,35","5,11","1,89","3,41","16,00","2,03","0,05","29,41%"
79,Raków Częstochowa,19/20,53,16,5,16,51,56,47%,"13,49","4,62","5,68","3,19","5,08","1,54","3,70","15,92","2,08","0,05","49,02%"
80,Zagłębie Lubin,19/20,53,15,8,14,61,53,52%,"14,89","5,35","5,59","3,95","5,14","1,62","3,43","14,95","1,70","0,08","31,15%"
81,Wisła Płock,19/20,51,14,9,14,45,54,47%,"10,73","4,11","4,38","2,24","5,14","1,46","3,03","15,43","1,92","0,00","46,67%"
82,Wisła Kraków,19/20,45,13,6,18,44,56,52%,"11,35","3,81","4,54","3,00","4,76","1,89","3,22","15,97","2,32","0,14","34,09%"
83,Arka Gdynia,19/20,40,10,10,17,39,57,47%,"11,24","3,84","4,70","2,70","4,05","1,68","4,59","18,16","2,32","0,08","51,28%"
84,Korona Kielce,19/20,35,9,8,20,29,48,48%,"13,38","4,22","5,51","3,65","5,08","1,89","3,35","18,59","2,73","0,19","37,93%"
85,ŁKS Łódź,19/20,24,6,6,25,33,68,54%,"14,51","4,19","5,51","4,81","4,81","1,11","3,57","16,19","2,54","0,11","39,39%"
86,Piast Gliwice,18/19,72,21,9,7,57,33,51%,"12,24","3,97","4,86","3,41","5,49","1,62","3,19","14,51","1,43","0,05","36,84%"
87,Legia Warszawa,18/19,68,20,8,9,55,38,52%,"14,03","4,95","5,43","3,65","5,89","2,19","2,49","15,08","2,11","0,11","36,36%"
88,Lechia Gdańsk,18/19,67,19,10,8,54,38,47%,"12,35","3,92","5,38","3,05","4,62","1,81","2,84","15,57","2,51","0,08","38,89%"
89,Cracovia,18/19,57,17,6,14,45,43,50%,"13,08","4,24","5,81","3,03","4,51","1,30","2,68","15,81","2,08","0,03","33,33%"
90,Jagiellonia,18/19,57,16,9,12,55,52,49%,"12,81","4,62","5,05","3,14","4,57","1,51","3,19","13,89","2,11","0,08","36,36%"
91,Zagłębie Lubin,18/19,53,15,8,14,57,48,50%,"11,97","4,59","4,46","2,92","4,97","2,35","3,03","14,41","2,43","0,11","33,33%"
92,Pogoń Szczecin,18/19,52,14,10,13,57,54,52%,"14,54","4,57","6,30","3,68","5,73","2,11","2,57","15,00","2,14","0,05","40,35%"
93,Lech Poznań,18/19,52,15,7,15,49,48,52%,"12,38","3,89","5,32","3,16","4,81","1,16","3,14","13,78","1,76","0,00","22,45%"
94,Wisła Kraków,18/19,49,14,7,16,67,63,54%,"11,86","4,46","4,59","2,81","4,54","1,49","3,95","14,05","1,97","0,05","35,82%"
95,Korona Kielce,18/19,47,12,11,14,42,54,52%,"14,97","5,14","6,30","3,54","5,35","1,84","2,81","17,46","2,57","0,05","38,10%"
96,Górnik Zabrze,18/19,46,12,10,15,48,53,47%,"13,41","5,16","5,19","3,05","4,43","2,84","3,08","15,57","2,24","0,11","33,33%"
97,Śląsk Wrocław,18/19,44,12,8,17,49,45,47%,"13,30","4,24","5,89","3,16","5,68","2,86","2,86","15,51","2,19","0,11","36,73%"
98,Arka Gdynia,18/19,42,10,12,15,49,51,52%,"12,03","4,59","4,46","2,97","5,03","1,30","3,05","16,27","2,08","0,11","46,94%"
99,Wisła Płock,18/19,41,10,11,16,50,58,48%,"12,95","4,22","5,38","3,35","4,84","1,89","3,05","15,35","2,24","0,19","50,00%"
100,Miedź Legnica,18/19,40,10,10,17,40,65,49%,"13,54","4,76","5,57","3,22","4,81","1,41","3,68","14,97","1,68","0,11","17,50%"
101,Zagłębie Sosnowiec,18/19,29,7,8,22,49,80,46%,"12,59","4,41","5,16","3,03","4,92","2,11","4,54","16,70","2,24","0,16","36,73%"
102,Legia Warszawa,17/18,70,22,4,11,55,35,54%,"12,22","4,59","4,92","2,70","5,27","2,27","3,19","12,78","1,97","0,19","29,63%"
103,Jagiellonia,17/18,67,20,7,10,55,41,51%,"13,70","4,51","5,97","3,22","5,19","1,81","2,51","13,16","2,11","0,03","27,27%"
104,Lech Poznań,17/18,60,16,12,9,53,34,54%,"13,08","4,89","5,32","2,86","6,32","1,70","2,35","13,84","2,00","0,11","39,62%"
105,Górnik Zabrze,17/18,60,16,12,9,68,54,45%,"14,11","5,11","5,54","3,46","5,05","2,70","3,14","15,81","2,05","0,14","47,69%"
106,Wisła Płock,17/18,57,17,6,14,53,45,49%,"11,84","4,46","5,05","2,32","4,92","1,30","2,43","15,95","2,41","0,11","43,40%"
107,Wisła Kraków,17/18,55,15,10,12,51,42,52%,"11,05","4,19","4,49","2,38","5,16","2,03","3,43","15,43","2,54","0,08","35,29%"
108,Zagłębie Lubin,17/18,52,13,13,11,45,42,52%,"12,32","4,22","5,41","2,70","5,27","2,16","3,14","14,16","2,05","0,08","33,33%"
109,Korona Kielce,17/18,49,12,13,12,49,54,52%,"13,49","4,70","5,78","3,00","5,32","2,54","2,70","16,43","2,16","0,11","30,61%"
110,Cracovia,17/18,50,13,11,13,51,52,46%,"12,76","4,32","5,70","2,73","4,43","1,89","3,11","13,22","2,11","0,03","54,90%"
111,Śląsk Wrocław,17/18,50,13,11,13,50,54,48%,"11,30","3,89","4,73","2,68","4,19","2,49","3,46","15,84","2,27","0,08","38,00%"
112,Pogoń Szczecin,17/18,45,12,9,16,46,54,55%,"13,32","4,78","5,30","3,24","5,19","2,86","2,41","15,38","2,51","0,08","36,96%"
113,Arka Gdynia,17/18,43,11,10,16,46,48,48%,"12,65","4,08","5,38","3,19","5,38","1,38","3,41","18,49","2,38","0,08","58,70%"
114,Lechia Gdańsk,17/18,39,9,13,15,46,58,53%,"9,59","3,70","4,24","1,65","4,86","2,65","3,00","16,00","2,24","0,11","43,48%"
115,Piast Gliwice,17/18,37,8,13,16,40,48,49%,"12,05","3,95","4,76","3,35","3,84","1,97","2,89","13,54","1,81","0,05","41,46%"
116,Termalica Bruk-Bet Nieciecza,17/18,36,9,9,19,39,66,49%,"12,51","3,68","6,27","2,57","4,68","1,62","3,08","16,05","2,05","0,08","33,33%"
117,Sandecja Nowy Sącz,17/18,33,6,15,16,34,54,45%,"10,38","3,08","4,86","2,43","4,16","1,76","3,57","16,59","2,46","0,14","14,71%"
118,Legia Warszawa,16/17,73,21,10,6,70,31,57%,"14,92","5,59","6,19","3,14","6,27","2,68","2,92","13,19","1,89","0,11","25,71%"
119,Jagiellonia,16/17,71,21,8,8,64,39,47%,"14,41","4,92","6,35","3,14","4,95","1,16","2,38","14,19","1,73","0,03","35,94%"
120,Lech Poznań,16/17,69,20,9,8,62,29,52%,"15,68","5,30","6,86","3,51","6,14","1,35","3,14","13,59","1,59","0,08","41,94%"
121,Lechia Gdańsk,16/17,68,20,8,9,57,37,57%,"12,24","4,41","5,22","2,62","5,62","1,92","3,59","14,19","2,78","0,14","29,82%"
122,Korona Kielce,16/17,47,14,5,18,47,65,47%,"14,95","4,49","6,43","4,03","5,38","1,92","3,46","16,05","2,70","0,08","44,68%"
123,Wisła Kraków,16/17,48,14,6,17,54,57,51%,"12,41","4,24","5,35","2,81","5,43","1,97","3,30","15,70","2,35","0,08","29,63%"
124,Pogoń Szczecin,16/17,46,11,13,13,51,54,53%,"14,86","4,95","6,41","3,51","4,92","2,14","2,38","14,57","1,95","0,05","39,22%"
125,Termalica Bruk-Bet Nieciecza,16/17,46,13,7,17,35,55,44%,"11,89","4,05","5,46","2,38","4,73","1,16","3,49","14,22","1,81","0,05","40,00%"
126,Zagłębie Lubin,16/17,53,14,11,12,51,45,51%,"14,59","4,65","6,22","3,73","5,68","2,38","3,27","15,14","2,11","0,03","47,06%"
127,Piast Gliwice,16/17,46,12,10,15,45,54,49%,"12,51","3,84","5,57","3,11","4,05","2,03","3,62","15,00","2,05","0,16","37,78%"
128,Śląsk Wrocław,16/17,46,12,10,15,49,52,50%,"12,00","4,03","4,86","3,11","4,41","1,43","3,16","15,65","1,84","0,14","34,69%"
129,Wisła Płock,16/17,47,12,11,14,49,57,46%,"12,24","3,95","5,62","2,68","5,41","1,05","3,76","14,41","1,97","0,08","40,82%"
130,Arka Gdynia,16/17,39,10,9,18,44,60,47%,"12,62","3,84","5,41","3,38","4,73","1,24","2,84","16,81","2,11","0,08","52,27%"
131,Cracovia,16/17,39,8,15,14,45,52,54%,"16,08","5,43","6,95","3,70","4,78","1,16","2,41","15,03","1,89","0,03","28,89%"
132,Górnik Łęczna,16/17,37,9,10,18,47,63,48%,"13,78","4,54","6,24","3,00","4,57","1,70","4,00","14,49","1,95","0,16","34,04%"
133,Ruch Chorzów,16/17,34,10,8,19,42,62,47%,"11,30","4,11","4,41","2,78","4,84","1,08","3,57","11,81","1,41","0,08","35,71%"
134,Legia Warszawa,15/16,73,21,10,6,70,32,55%,"13,27","5,11","5,57","2,59","6,41","3,16","2,76","12,54","1,86","0,05","21,43%"
135,Piast Gliwice,15/16,69,20,9,8,60,45,51%,"13,68","4,62","5,57","3,49","5,59","2,76","3,51","14,51","1,97","0,08","31,67%"
136,Zagłębie Lubin,15/16,60,17,9,11,55,42,49%,"13,41","4,51","5,92","2,97","5,32","2,03","2,65","15,27","2,22","0,05","29,09%"
137,Cracovia,15/16,58,16,10,11,66,50,54%,"15,89","5,57","6,32","4,00","5,32","1,41","2,86","12,54","2,11","0,03","25,76%"
138,Lechia Gdańsk,15/16,51,14,10,13,53,44,55%,"14,16","4,92","5,84","3,41","5,08","2,11","2,43","12,95","2,16","0,08","28,30%"
139,Pogoń Szczecin,15/16,53,12,17,8,43,43,47%,"12,30","3,65","5,54","3,11","4,89","2,08","3,19","16,24","1,65","0,03","41,86%"
140,Lech Poznań,15/16,48,14,6,17,42,47,54%,"14,89","5,05","6,68","3,16","5,73","1,27","3,24","12,70","2,03","0,03","19,05%"
141,Ruch Chorzów,15/16,40,11,8,18,40,60,49%,"10,97","3,95","5,03","2,00","4,73","1,41","3,49","10,46","1,41","0,19","32,50%"
142,Wisła Kraków,15/16,50,12,15,10,61,45,54%,"14,51","4,97","6,14","3,41","5,08","1,46","3,24","14,22","2,05","0,03","26,23%"
143,Śląsk Wrocław,15/16,48,12,12,13,41,46,50%,"13,92","4,70","5,86","3,35","5,19","1,89","3,59","15,49","2,46","0,05","29,27%"
144,Jagiellonia,15/16,45,13,6,18,46,62,45%,"14,08","5,03","5,95","3,11","5,62","1,86","2,57","13,35","1,89","0,11","36,96%"
145,Korona Kielce,15/16,45,10,15,12,39,45,46%,"13,59","4,32","5,95","3,32","4,54","1,16","3,30","15,62","1,97","0,03","46,15%"
146,Termalica Bruk-Bet Nieciecza,15/16,42,10,12,15,39,50,51%,"12,38","4,11","5,57","2,70","4,68","1,14","3,24","13,65","2,05","0,05","46,15%"
147,Górnik Łęczna,15/16,39,10,9,18,40,53,45%,"13,78","4,38","5,81","3,59","5,08","2,46","3,00","14,49","2,38","0,16","25,00%"
148,Górnik Zabrze,15/16,35,6,18,13,38,51,48%,"12,92","3,68","6,11","3,14","5,32","1,35","3,32","13,97","1,97","0,11","39,47%"
149,Podbeskidzie Bielsko-Biała,15/16,39,9,12,16,45,63,47%,"13,27","3,84","5,89","3,54","4,59","1,86","4,95","13,92","2,22","0,16","26,67%"
150,Lech Poznań,14/15,70,19,13,5,67,33,54%,"14,49","5,97","5,86","2,65","5,14",Brak danych,"1,54","15,30","2,05","0,05","22,39%"
151,Legia Warszawa,14/15,70,21,7,9,64,33,57%,"13,51","5,22","5,24","3,05","6,73",Brak danych,"2,43","12,49","2,00","0,14","32,81%"
152,Jagiellonia,14/15,65,19,8,10,59,44,45%,"11,59","4,54","4,97","2,08","4,68",Brak danych,"1,51","12,97","1,70","0,08","23,73%"
153,Śląsk Wrocław,14/15,58,15,13,9,50,43,52%,"14,05","4,78","5,59","3,68","6,11",Brak danych,"1,95","13,73","1,84","0,08","22,00%"
154,Cracovia,14/15,54,15,9,13,50,44,51%,"14,38","5,30","6,03","3,05","5,81",Brak danych,"2,35","14,00","2,03","0,05","26,00%"
155,Lechia Gdańsk,14/15,49,13,10,14,45,47,55%,"15,54","4,95","6,65","3,95","5,81",Brak danych,"1,46","14,27","1,97","0,16","33,33%"
156,Wisła Kraków,14/15,49,12,13,12,56,48,52%,"12,62","4,46","5,11","3,05","4,92",Brak danych,"1,78","14,89","2,27","0,14","21,43%"
157,Górnik Zabrze,14/15,47,12,11,14,50,60,51%,"11,68","4,22","4,81","2,65","4,62",Brak danych,"1,49","13,24","2,00","0,11","26,00%"
158,Piast Gliwice,14/15,47,13,8,16,50,56,47%,"11,51","3,73","5,14","2,65","4,78",Brak danych,"1,76","14,24","1,54","0,03","30,00%"
159,Korona Kielce,14/15,47,12,11,14,44,55,47%,"11,76","4,00","5,19","2,57","5,35",Brak danych,"1,49","14,89","2,27","0,11","29,55%"
160,Podbeskidzie Bielsko-Biała,14/15,46,12,10,15,47,60,47%,"13,11","4,22","5,49","3,41","5,49",Brak danych,"1,54","14,41","2,11","0,19","40,43%"
161,Ruch Chorzów,14/15,46,12,10,15,44,46,48%,"9,97","3,65","4,49","1,84","4,30",Brak danych,"1,73","10,81","1,95","0,05","27,27%"
162,Górnik Łęczna,14/15,44,11,11,15,39,46,48%,"13,27","4,65","5,46","3,16","5,11",Brak danych,"2,51","13,78","2,00","0,14","20,51%"
163,Pogoń Szczecin,14/15,42,11,9,17,45,52,49%,"12,73","4,03","5,57","3,14","4,92",Brak danych,"1,84","16,00","2,03","0,08","28,89%"
164,Zawisza Bydgoszcz,14/15,38,10,8,19,45,63,50%,"11,95","4,30","4,84","2,81","4,49",Brak danych,"1,51","15,03","1,92","0,16","24,44%"
165,GKS Bełchatów,14/15,36,9,9,19,35,60,48%,"9,97","3,38","4,19","2,41","4,43",Brak danych,"1,46","15,46","2,08","0,11","20,00%"
